36	plate	皿、プレート	Please put your dish on the table and take a clean plate from the cupboard.	料理をテーブルの上に置いて、食器棚からきれいな皿を取ってください。	りょうりをてーぶるのうえにおいて、しょっきだなからきれいなさらをとってください。
37	copper	銅、金属の一種	Copper is an excellent conductor of electricity.	銅は電気の優れた導体です。	どうはでんきのすぐれたどうたいです。
38	gentle	優しい、穏やかな	She has a gentle touch that comforts everyone around her.	彼女は周りの誰もが安心するような優しい手つきを持っています。	かのじょはまわりのだれもがあんしんするようなやさしいてつきをもっています。
39	season	季節	Autumn is my favorite season.	私は秋が一番好きな季節です。	わたしはあきがいちばんすきなきせつです。
40	number	数、番号	The number of students in the class has increased this year.	今年、クラスの生徒数が増えました。	ことし、くらすのせいとすうがふえました。
41	recognition	認識、認めること	The award was a recognition of her hard work and dedication.	その賞は彼女の努力と献身の認識を示すものでした。	そのしょうはかのじょのどりょくとけんしんのにんしきをしめすものでした。
42	beard	あごひげ	He has a beard.	彼はあごひげを生やしている。	かれはあごひげをはやしている。
43	trunk	木の幹、トランク、ゾウの鼻	The elephant raised its trunk and trumpeted loudly.	ゾウは鼻を上げて、大きな音で鳴いた。	ぞうははなをあげて、おおきなおとでないた。
44	strap	ストラップ、ひも、帯	She used a leather strap to secure the suitcase.	彼女はスーツケースを固定するために革のストラップを使った。	かのじょはすーつけーすをこていするためにかわのすとらっぷをつかった。
45	action	行動、活動	The movie was full of exciting action and thrilling scenes.	その映画は、エキサイティングなアクションとスリリングな場面に満ちていました。	そのえいがは、えきさいてぃんぐなあくしょんとすりりんぐなばめんにみちていました。
46	man	男	The man was walking his dog in the park.	男は公園で犬と散歩をしていました。	おとこはこうえんでいぬとさんぽをしていました。
47	gate	門、ゲート	There was a beautiful gate at the entrance of the park.	公園の入り口には美しいゲートがありました。	こうえんのいりぐちにはうつくしいげーとがありました。
48	wonder	驚き、驚嘆	The children were filled with wonder at the beauty of the starry sky.	子供たちは星空の美しさに驚きました。	こどもたちはほしぞらのうつくしさにおどろきました。
49	lie	嘘、虚偽の陳述	It's never a good idea to lie to your friends.	友達に嘘をつくことは決して良い考えではありません。	ともだちにうそをつくことはけっしてよいかんがえではありません。
50	sport	スポーツ、競技	He has been playing that sport since he was a child.	彼は子供の頃からそのスポーツを続けています。	かれはこどものころからそのすぽーつをつづけています。
51	caution	注意、用心	Please use caution while driving in the rain.	雨の中で運転する際は注意してください。	あめのなかでうんてんするさいはちゅういしてください。
52	pull	引く	Please pull the door.	ドアを引いてください。	どあをひいてください。
53	through	通して、通じて、縦に	She walked through the forest, enjoying the beauty of nature.	彼女は森を通り抜けながら自然の美しさを楽しんでいました。	かのじょはもりをとおりぬけながらしぜんのうつくしさをたのしんでいました。
54	fade	消える、薄れる	The colors of the painting began to fade after many years.	その絵画の色は、何年も経つにつれて薄れていきました。	そのかいがのいろは、なんねんもたつにつれてうすれていきました。
55	quiet	静かな	She enjoys reading books in a quiet place.	彼女は静かな場所で本を読むのが好きです。	かのじょはしずかなばしょでほんをよむのがすきです。
56	strip	剥がす、剥ぎ取る、脱ぐ	The artist decided to strip the old paint from the wooden surface before applying a new coat.	アーティストは、新しい塗装を施す前に、木の表面から古い塗料を剥がすことに決めました。	あーてぃすとは、あたらしいとそうをほどこすまえに、きのひょうめんからふるいとりょうをはがすことにきめました。
57	applaud	拍手喝采する、称賛する	The audience applauded the performer enthusiastically.	観客は演奏者を盛んに拍手喝采しました。	かんきゃくはえんそうしゃをさかんにはくしゅかっさいしました。
58	great	素晴らしい、優れた	She did a great job on her presentation.	彼女はプレゼンテーションで素晴らしい仕事をしました。	かのじょはぷれぜんてーしょんですばらしいしごとをしました。
59	pass	合格、通過する	He studied hard to pass the exam.	彼は試験に合格するために一生懸命勉強しました。	かれはしけんにごうかくするためにいっしょうけんめいべんきょうしました。
60	hunger	飢え、空腹	Hunger can drive people to seek food in desperate situations.	飢えは、人々が絶望的な状況で食べ物を求める原因となることがあります。	うえは、ひとびとがぜつぼうてきなじょうきょうでたべものをもとめるげんいんとなることがあります。
61	regard	考慮、尊重、関心	I have a high regard for your opinions and suggestions.	私はあなたの意見や提案に高い敬意を持っています。	わたしはあなたのいけんやていあんにたかいけいいをもっています。
62	must	必ず～しなければならない、義務がある	You must finish your homework before going out to play.	遊びに出かける前に宿題を終わらせなければなりません。	あそびにでかけるまえにしゅくだいをおわらせなければなりません。
63	content	内容、情報	He carefully prepared the content for his presentation.	彼はプレゼンテーションの内容をしっかりと準備しました。	かれはぷれぜんてーしょんのないようをしっかりとじゅんびしました。
64	cry	泣く、叫ぶ	She cried out of joy.	彼女は嬉しさのあまり、思わず泣いてしまった。	かのじょはうれしさのあまり、おもわずないてしまった。
65	hall	ホール、大広間	The grand hall was beautifully decorated for the wedding reception.	その大広間は結婚披露宴のために美しく装飾されていました。	そのおおひろまはけっこんひろうえんのためにうつくしくそうしょくされていました。
66	broad	広い、広範な	The river is broad enough for boats to pass through easily.	その川は、ボートが簡単に通れるほど広いです。	そのかわは、ぼーとがかんたんにとおれるほどひろいです。
67	half	半分、二分の一	I only ate half of the pizza.	私はピザの半分だけ食べました。	わたしはぴざのはんぶんだけたべました。
68	arm	腕	She put her arm around her friend to comfort her.	彼女は友達を慰めるために腕を回した。	かのじょはともだちをなぐさめるためにうでをまわした。
69	feed	餌、飼料	I forgot to feed the birds.	鳥に餌をやるのを忘れてしまいました。	とりにえさをやるのをわすれてしまいました。
70	immense	巨大な、途方もない	He is putting immense effort into the project.	彼はそのプロジェクトに途方もない努力を注いでいます。	かれはそのぷろじぇくとにとほうもないどりょくをそそいでいます。
71	problem	問題、課題	He is working hard to solve the problem.	彼はその問題を解決するために一生懸命働いています。	かれはそのもんだいをかいけつするためにいっしょうけんめいはたらいています。
72	sock	靴下	I bought a pair of warm socks for the winter.	冬のために暖かい靴下を一足買いました。	ふゆのためにあたたかいくつしたをいっそくかいました。
73	science	科学	Science is the key to understanding our world.	科学は私たちの世界を理解するための鍵です。	かがくはわたしたちのせかいをりかいするためのかぎです。
74	electrician	電気技師、電気工	The electrician fixed the wiring in my house quickly and efficiently.	その電気技師は私の家の配線を迅速かつ効率的に修理しました。	そのでんきぎしはわたしのいえのはいせんをじんそくかつこうりつてきにしゅうりしました。
75	tame	飼い慣らす、なつける	He is good at taming wild horses.	彼は野生の馬を飼い慣らすのが得意です。	かれはやせいのうまをかいならすのがとくいです。
76	honor	名誉、尊敬	He fought with courage and honor.	彼は勇気と名誉をもって戦いました。	かれはゆうきとめいよをもってたたかいました。
77	nothing	何も～ない	I have nothing to do.	何もすることがない。	なにもすることがない。
78	drop	落とす	He accidentally dropped the book from his hands.	彼は手から本を落としてしまった。	かれはてからほんをおとしてしまった。
79	collect	集める、収集する	She enjoys collecting stamps from around the world.	彼女は世界中の切手を集めるのが趣味です。	かのじょはせかいじゅうのきってをあつめるのがしゅみです。
80	excuse	言い訳、口実	He used an excuse for being late.	彼は遅れた理由を言い訳として使った。	かれはおくれたりゆうをいいわけとしてつかった。
81	war	戦争、戦い	The country has been facing turmoil since the outbreak of war.	その国は戦争の勃発以来、混乱に直面しています。	そのくにはせんそうのぼっぱついらい、こんらんにちょくめんしています。
82	wicked	邪悪な、意地悪な	The witch gave a wicked grin.	魔女は邪悪な笑みを浮かべた。	まじょはじゃあくなえみをうかべた。
83	cake	ケーキ	She baked a delicious chocolate cake for the party.	彼女はパーティーのためにおいしいチョコレートケーキを焼きました。	かのじょはぱーてぃーのためにおいしいちょこれーとけーきをやきました。
84	whom	誰に（人を指す関係代名詞）	To whom should I address the letter?	その手紙は誰に宛てればいいのですか？	そのてがみはだれにあてればいいのですか?
85	actress	女優	She is an actress who performs on stage and in movies.	彼女は舞台や映画で活躍する女優です。	かのじょはぶたいやえいがでかつやくするじょゆうです。
86	card	カード、名刺、カードゲームなどの意味を持つ	I received a beautiful card for my birthday.	誕生日に素敵なカードをもらいました。	たんじょうびにすてきなかーどをもらいました。
87	support	支える、支援する	I support your decision.	私はあなたの決断を支持します。	わたしはあなたのけつだんをしじします。
88	ornament	装飾品、飾り	We put ornaments on the Christmas tree.	クリスマスツリーに装飾品を付けました。	くりすますつりーにそうしょくひんをつけました。
89	harden	硬化する、強くする	The clay will harden as it dries in the sun.	粘土は日光で乾くにつれて硬化します。	ねんどはにっこうでかわくにつれてこうかします。
90	breakfast	朝食	I had bread and coffee for breakfast.	朝食はパンとコーヒーでした。	ちょうしょくはぱんとこーひーでした。
91	branch	枝	I sat on a large branch of the tree and read a book.	大きな木の枝に座って、本を読みました。	おおきなきのえだにすわって、ほんをよみました。
92	pocket	ポケット	I found some loose change in my pocket.	ポケットの中にいくつかの小銭を見つけました。	ぽけっとのなかにいくつかのこぜにをみつけました。
93	avenue	大通り、通り、道筋	She walked down the bustling avenue, enjoying the lively atmosphere of the city.	彼女は賑やかな大通りを歩きながら、街の活気ある雰囲気を楽しんでいました。	かのじょはにぎやかなおおどおりをあるきながら、まちのかっきあるふんいきをたのしんでいました。
94	ounce	オンス（重さの単位）、約28.35グラム	There are 16 ounces in a pound.	1ポンドは16オンスです。	1ぽんどは16おんすです。
95	dirt	泥、土、汚れ	The children played outside and got dirt all over their clothes.	子供たちは外で遊んで、服が泥だらけになりました。	こどもたちはそとであそんで、ふくがどろだらけになりました。
96	mend	修理する、直す	He worked hard to mend the flat tire on his old bicycle.	彼は古い自転車を修理するために、一生懸命にパンクを直しました。	かれはふるいじてんしゃをしゅうりするために、いっしょうけんめいにぱんくをなおしました。
97	honesty	誠実、正直さ	Honesty is the foundation of any strong relationship.	誠実さはあらゆる強い関係の基礎です。	せいじつさはあらゆるつよいかいけいのきそです。
98	beauty	美しさ、魅力	The beauty of the sunset took my breath away.	夕日の美しさには息を呑みました。	ゆうひのうつくしさにはいきをのみました。
99	friendly	友好的な、親しみやすい	He always has a friendly smile on his face.	彼はいつも友好的な笑顔を浮かべている。	かれはいつもゆうこうてきなえがおをうかべている。
100	advise	助言する、勧める	He advised me on my decision to continue my education.	彼は私に進学について助言をくれました。	かれはわたしにしんがくについてじょげんをくれました。
101	loose	ゆるい	His pants are a bit loose, so he needs to tighten his belt.	彼のズボンは少しゆるいので、ベルトを締める必要があります。	かれのずぼんはすこしゆるいので、べるとをしめるひつようがあります。
102	word	単語、言葉	Can you tell me the meaning of this word?	この単語の意味を教えてくれますか？	このたんごのいみをおしえてくれますか?
103	invent	発明する、考案する	He invented a new type of engine.	彼は新しいタイプのエンジンを発明しました。	かれはあたらしいたいぷのえんじんをはつめいしました。
104	shelf	棚	I placed my favorite books on the shelf.	お気に入りの本を棚に置きました。	おきにいりのほんをたなにおきました。
105	clothe	衣服を着る、服を与える	He decided to clothe himself in a warm jacket for the winter.	彼は冬のために暖かいジャケットを着ることに決めました。	かれはふゆのためにあたたかいじゃけっとをきることにきめました。
106	cent	セント（通貨の単位）、100分の1ドル	This candy costs fifty cents.	このキャンディは50セントです。	このきゃんでぃは50せんとです。
107	gift	贈り物、プレゼント	I received a wonderful gift on my birthday.	誕生日に素晴らしい贈り物をもらいました。	たんじょうびにすばらしいおくりものをもらいました。
108	for	〜のために、〜に対して	This gift is for you to celebrate your achievement.	この贈り物は、あなたの達成を祝うためのものです。	このおくりものは、あなたのたっせいをいわうためのものです。
109	above	上に、上昇している	The airplane flew above the clouds.	その飛行機は雲の上を飛んだ。	そのひこうきはくものうえをとんだ。
110	seem	見える、思われる	It may seem difficult at first, but with practice, you will improve.	最初は難しそうに思えるかもしれませんが、練習すれば上達します。	さいしょはむずかしそうにおもえるかもしれませんが、れんしゅうすればじょうたつします。
111	store	店、保管する場所	I need to go to the store to buy some groceries.	私は食料品を買うために店に行く必要があります。	わたしはしょくりょうひんをかうためにみせにいくひつようがあります。
112	electric	電気、電動の	He bought a new electric bicycle and enjoys moving around the city freely.	彼は新しい電動自転車を買って、街を自由に移動しています。	かれはあたらしいでんどうじてんしゃをかって、まちをじゆうにいどうしています。
113	musician	音楽家、ミュージシャン	She is a talented musician who plays the violin beautifully.	彼女は美しくバイオリンを弾く才能ある音楽家です。	かのじょはうつくしくばいおりんをひくさいのうあるおんがくかです。
114	presence	存在、出席	Her presence at the meeting made a big difference.	彼女の出席が会議に大きな影響を与えました。	かのじょのしゅっせきがかいぎにおおきなえいきょうをあたえました。
115	character	キャラクター、性格	Her character is very charming and loved by many people.	彼女のキャラクターはとても魅力的で、多くの人に愛されています。	かのじょのきゃらくたーはとてもみりょくてきで、おおくのひとにあいされています。
116	practice	練習	By practicing a little every day, your skills will surely improve.	毎日少しずつ練習を重ねることで、スキルは確実に向上します。	まいにちすこしずつれんしゅうをかさねることで、すきるはかくじつにこうじょうします。
117	hurt	傷つける、痛める	He was hurt by his friend's words.	彼は友達の言葉に傷ついてしまった。	かれはともだちのことばにきずついてしまった。
118	blade	刃、刀身	The chef skillfully sliced the vegetables with a sharp blade.	シェフは鋭い刃で野菜を手際よく切りました。	しぇふはするどいはでやさいをてぎわよくきりました。
119	cautious	慎重な、用心深い	She is always cautious when making important decisions.	彼女は重要な決定を下すとき、常に慎重です。	かのじょはじゅうようなけっていをくだすとき、つねにしんちょうです。
120	advance	前進、進展	The technology has advanced significantly over the past decade.	この技術は過去10年間で大きく進歩した。	このぎじゅつはかこ10ねんかんでおおきくしんぽした。
121	bottle	ボトル、瓶	I need to buy a bottle of water before the hike.	ハイキングの前に水のボトルを買う必要があります。	はいきんぐのまえにみずのぼとるをかうひつようがあります。
122	act	行動する、演じる	He acted courageously.	彼は勇気を持って行動した。	かれはゆうきをもってこうどうした。
123	dot	点、小さな丸	Please put a dot at the end of each sentence.	各文の最後に点を付けてください。	かくぶんのさいごにてんをつけてください。
124	photograph	写真、撮影した映像	She took a beautiful photograph of the sunset.	彼女は夕日を美しく撮影した。	かのじょはゆうひをうつくしくさつえいした。
125	reach	到達する、手が届く	I hope to reach my goals by the end of this year.	私は今年の終わりまでに目標を達成したいと思っています。	わたしはことしのおわりまでにもくひょうをたっせいしたいとおもっています。
127	draw	描く、引く	She loves to draw pictures of animals in her sketchbook.	彼女はスケッチブックに動物の絵を描くのが大好きです。	かのじょはすけっちぶっくにどうぶつのえをえがくのがだいすきです。
128	hook	フック、釣り針、引っ掛けるもの	She used a hook to hang the painting on the wall.	彼女は絵を壁に掛けるためにフックを使った。	かのじょはえをかべにかけるためにふっくをつかった。
129	convenience	便利、都合の良さ	This store is very convenient because it's close to the station.	この店は駅に近くてとても便利です。	このみせはえきにちかくてとてもべんりです。
130	protect	保護する	Parents try to protect their children from danger.	親は子供を危険から守ろうとします。	おやはこどもをきけんからまもろうとします。
131	rod	棒、ロッド	He used a sturdy rod to catch fish in the lake.	彼は湖で魚を釣るために頑丈な棒を使った。	かれはみずうみでさかなをつるためにがんじょうなぼうをつかった。
132	tail	尾、しっぽ	The cat walked with its tail held high.	猫はしっぽを高く上げて歩いていました。	ねこはしっぽをたかくあげてあるいていました。
133	cheap	安い	This store offers high-quality products at cheap prices.	この店では、安い価格で高品質の商品を買うことができます。	このみせでは、やすいかかくでこうひんしつのしょうひんをかうことができます。
134	those	それら、あれら	Those books on the shelf are my favorites.	あの棚にある本は私のお気に入りです。	あのたなにあるほんはわたしのおきにいりです。
135	knife	ナイフ、刃物	He used a knife to cut the vegetables for the salad.	彼はサラダのために野菜を切るのにナイフを使った。	かれはさらだのためにやさいをきるのにないふをつかった。
136	kingdom	王国	There was once a great kingdom in this region.	かつて、この地域には偉大な王国が存在しました。	かつて、このちいきにはいだいなおうこくがそんざいしました。
137	pattern	模様、形、パターン	The quilt has a beautiful floral pattern on it.	そのキルトには美しい花の模様が施されています。	そのきるとにはうつくしいはなのもようがほどこされています。
138	message	メッセージ、伝達	I need to send him an important message.	彼に重要なメッセージを送る必要があります。	かれにじゅうようなめっせーじをおくるひつようがあります。
139	song	歌、楽曲	She sang her favorite song at the karaoke bar.	彼女はカラオケバーでお気に入りの歌を歌った。	かのじょはからおけばーでおきにいりのうたをうたった。
140	white	白い、色の一つ	The walls of the room were painted white to create a calming atmosphere.	その部屋の壁は白く塗られていて、落ち着いた雰囲気を作り出していました。	そのへやのかべはしろくぬられていて、おちついたふんいきをつくりだしていました。
141	poet	詩人、詩を書く人	The famous poet wrote many beautiful poems about nature.	その有名な詩人は自然についての美しい詩をたくさん書きました。	そのゆうめいなしじんはしぜんについてのうつくしいしをたくさんかきました。
142	proof	証拠、証明	He provided solid proof of his claims during the meeting.	彼は会議中に自分の主張の確固たる証拠を提供しました。	かれはかいぎちゅうにじぶんのしゅちょうのかっこたるしょうこをていきょうしました。
143	log	丸太、記録、ログ	He kept a log of his daily activities to track his progress.	彼は進捗を追跡するために日々の活動を記録していました。	かれはしんちょくをついせきするためにひびのかつどうをきろくしていました。
144	blood	血	The doctor said my blood test results were normal.	医者は私の血液検査の結果が正常だと言いました。	いしゃはわたしのけつえきけんさのけっかがせいじょうだといいました。
145	favorite	お気に入り	My favorite movie is one I watch every year.	私のお気に入りの映画は毎年見ています。	わたしのおきにいりのえいがはまいとしみています。
146	companion	仲間、付き添い	My dog is my best companion; he's always there for me.	私の犬は最高の仲間です。彼はいつも私のためにそばにいてくれます。	わたしのいぬはさいこうのなかまです。かれはいつもわたしのためにそばにいてくれます。
147	hate	憎む、嫌う	I hate people who lie.	私は嘘をつく人が嫌いだ。	わたしはうそをつくひとがきらいだ。
148	money	お金	I want to save money.	お金を貯めたい。	おかねをためたい。
149	everyday	日常の、毎日の	She goes for a run everyday to stay healthy.	彼女は健康を保つために毎日ランニングをします。	かのじょはけんこうをたもつためにまいにちらんにんぐをします。
150	rock	岩、石	The children found a large rock by the river.	子供たちは川のそばで大きな岩を見つけました。	こどもたちはかわのそばでおおきないわをみつけました。
151	rid	取り除く、解放する	We need to rid the house of clutter to make it more spacious.	私たちは家を整理して、もっと広くする必要があります。	わたしたちはいえをせいりして、もっとひろくするひつようがあります。
152	university	大学	She decided to attend university to pursue her degree in biology.	彼女は生物学の学位を取得するために大学に通うことに決めました。	かのじょはせいぶつがくのがくいをしゅとくするためにだいがくにかようことにきめました。
153	recognize	認識する、認める	I can recognize her voice even without seeing her.	彼女を見ることなくても、彼女の声を認識することができます。	かのじょをみることなくても、かのじょのこえをにんしきすることができます。
154	mountain	山	The mountain offers beautiful views and fresh air.	その山は美しい景色と新鮮な空気を提供しています。	そのやまはうつくしいけしきとしんせんなくうきをていきょうしています。
155	official	公式、認可された	The official announcement was made before the meeting began.	公式の発表が行われた後、会議は始まりました。	こうしきのはっぴょうがおこなわれたあと、かいぎははじまりました。
156	heart	心、心臓	She felt a warmth in her heart when she saw her best friend after many years.	彼女は何年ぶりに親友に会ったとき、心が温かくなるのを感じた。	かのじょはなんねんぶりにしんゆうにあったとき、こころがあたたかくなるのをかんじた。
157	fellow	仲間、同僚	She is a fellow student in my class.	彼女は私のクラスの同級生です。	かのじょはわたしのくらすのどうきゅうせいです。
158	soap	石鹸、洗浄剤	It's important to use soap when washing your hands.	手を洗うときは、石鹸を使うことが大切です。	てをあらうときは、せっけんをつかうことがたいせつです。
159	space	宇宙、空間	The astronauts traveled to space to conduct experiments.	宇宙飛行士たちは実験を行うために宇宙に向かった。	うちゅうひこうしたちはじっけんをおこなうためにうちゅうにむかった。
160	middle	中間	He waited for his friend at the middle point.	彼は中間地点で友達と待ち合わせをしました。	かれはちゅうかんちてんでともだちとまちあわせをしました。
161	well	良い、元気で、うまくいっている、井戸	She felt well after taking the medicine.	彼女は薬を飲んだ後、元気になりました。	かのじょはくすりをのんだあと、げんきになりました。
162	severe	厳しい、深刻な	The area was hit by a severe storm, forcing many people to evacuate.	その地域は厳しい嵐に見舞われ、多くの人々が避難しました。	そのちいきはきびしいあらしにみまわれ、おおくのひとびとがひなんしました。
163	compete	競争する	He is competing for a gold medal at the Olympics.	彼はオリンピックで金メダルを獲得するために競争しています。	かれはおりんぴっくできんめだるをかくとくするためにきょうそうしています。
164	bunch	束、群れ、集まり	She picked a bunch of flowers from the garden.	彼女は庭から一束の花を摘んだ。	かのじょはにわからいちたばのはなをつんだ。
165	modesty	謙虚さ、控えめさ	Her modesty in accepting the award surprised everyone.	彼女が賞を受け取る際の謙虚さは、みんなを驚かせました。	かのじょがしょうをうけとるさいのけんきょさは、みんなをおどろかせました。
166	bite	噛むこと、かみつくこと	The dog might bite if you approach it too quickly.	その犬に近づきすぎると、かみつかれるかもしれません。	そのいぬにちかづきすぎると、かみつかれるかもしれません。
167	scenery	景色、風景	The scenery from the top of the mountain is breathtaking.	その山の頂上からの景色は息をのむほど美しい。	そのやまのちょうじょうからのけしきはいきをのむほどうつくしい。
168	nowadays	現代、最近	Nowadays, more people are shopping online.	最近、人々はオンラインで買い物をすることが増えています。	さいきん、ひとびとはおんらいんでかいものをすることがふえています。
169	conqueror	征服者、勝者	The conqueror of the land was celebrated for his bravery and skill in battle.	その土地の征服者は、勇気と戦闘技術で称賛されました。	そのとちのせいふくしゃは、ゆうきとせんとうぎじゅつでしょうさんされました。
170	rob	奪う、盗む	He tried to rob the bank of its money.	彼は銀行を襲ってお金を奪おうとしました。	かれはぎんこうをおそっておかねをうばおうとしました。
171	several	いくつかの	I borrowed several books from the library.	いくつかの本を借りてきました。	いくつかのほんをかりてきました。
172	further	さらに、もっと遠くに	We need to discuss this further before making a decision.	私たちは決定を下す前に、これについてさらに話し合う必要があります。	わたしたちはけっていをくだすまえに、これについてさらにはなしあうひつようがあります。
173	hard	硬い、難しい	He found the problem to be very hard.	彼はその問題がとても難しいと感じました。	かれはそのもんだいがとてもむずかしいとかんじました。
174	crime	犯罪	The police are working hard to reduce the crime rate in the city.	警察は市の犯罪率を減少させるために懸命に働いています。	けいさつはしのはんざいりつをげんしょうさせるためにけんめいにはたらいています。
175	forth	前に、前方に、出て、発展して	She stepped forth confidently to deliver her presentation.	彼女は自信を持って前に出てプレゼンテーションを行いました。	かのじょはじしんをもってまえにでてぷれぜんてーしょんをおこないました。
176	coarse	粗い、粗雑な	This fabric has a coarse texture and is not gentle on the skin.	この布は粗い質感で、肌に優しくありません。	このぬのはあらいしつかんで、はだにやさしくありません。
