id	word	definition_en	definition_ja	example_en	example_ja	kana	level	grouping	similar_ids
22	who	a pronoun used to ask or specify about a person or people.	誰、どの人	Who is your favorite actor?	あなたの好きな俳優は誰ですか？	あなたのすきなはいゆうはだれですか?	1	4	9588,893,680,1554,9602,545,1458,487,12081,374
23	joy	a feeling of great happiness or pleasure.	喜び、楽しみ	The children were filled with joy when they saw the fireworks.	子供たちは花火を見て喜びに満ちました。	こどもたちははなびをみてよろこびにみちました。	1	3	1268,9253,3688,1027,8648,4499,14101,7616,10384,1385
24	swing	a moving back and forth or from side to side, especially as a children's playground equipment or as a verb meaning to move back and forth.	揺れる、ぶらぶらする	The children are swinging on the swings at the park.	子供たちは公園でブランコを揺さぶって遊んでいます。	こどもたちはこうえんでぶらんこをゆさぶってあそんでいます。	1	4	14473,6743,7874,11640,3850,4170,5631,1989,2279,7367
25	thus	as a result or consequence of what has just been mentioned; therefore.	このように、したがって	I forgot my umbrella; thus, I got soaked in the rain.	傘を忘れたので、その結果、雨でびしょ濡れになりました。	かさをわすれたので、そのけっか、あめでびしょぬれになりました。	1	0	10759,11272,1208,12104,12326,7151,2921,2623,5229,4294
26	though	despite the fact that; however.	しかし、～にもかかわらず	Though it was raining, we decided to go for a walk.	雨が降っていたが、私たちは散歩に行くことに決めた。	あめがふっていたが、わたしたちはさんぽにいくことにきめた。	1	0	12951,547,10402,12582,7906,11365,11704,12990,12264,2059
27	command	an order or instruction given to a person or group of people; can also mean to have control over something.	命令	He gave a clear command to his subordinates.	彼は部下に明確な命令を出しました。	かれはぶかにめいかくなめいれいをだしました。	1	4	4563,4601,7635,8288,4378,6994,5838,10157,5763,9859
28	truth	the fact or state of being true; the actual state of affairs.	真実	Knowing the truth can be painful at times, but it is essential.	真実を知ることは時に辛いことですが、重要です。	しんじつをしることはときにつらいことですが、じゅうようです。	1	3	1648,725,9417,1742,6282,11265,3540,114,11922,593
29	insurance	a contract in which an individual or entity receives financial protection or reimbursement against losses from an insurance company.	保険、補償のための契約	It is important to have health insurance to cover medical expenses.	医療費をカバーするために健康保険に入ることは重要です。	いりょうひをかばーするためにけんこうほけんにはいることはじゅうようです。	1	4	3300,1246,6834,6208,10718,12172,6148,11258,7707,4834
30	fill	to make something full; to occupy completely.	満たす、充填する	Please fill the form with your personal information.	個人情報をフォームに記入してください。	こじんじょうほうをふぉーむにきにゅうしてください。	1	1	12364,14196,12877,3414,3485,5420,6165,289,4867,13714
31	indeed	truly; certainly; in fact	実際に、本当に、確かに	She is indeed a talented musician.	彼女は実際に才能のある音楽家です。	かのじょはじっさいにさいのうのあるおんがくかです。	1	0	11265,12397,7533,9706,10400,11352,12168,12513,12555,10442
32	cup	a small bowl-shaped container for drinking from, typically with a handle	カップ、飲料を入れる容器	She poured her coffee into a large cup.	彼女は大きなカップにコーヒーを注ぎました。	かのじょはおおきなかっぷにこーひーをそそぎました。	1	4	1452,7738,5206,7193,321,121,2040,2097,1413,12072
33	match	a contest or competition between two or more parties	一致、合致すること	The colors of her dress perfectly match the decorations in the room.	彼女のドレスの色は部屋の装飾と完璧に合っています。	かのじょのどれすのいろはへやのそうしょくとかんぺきにあっています。	1	4	6508,429,6464,794,1630,752,7760,4705,1638,9119
34	officer	a person holding a position of authority, especially in the military or police	職員、役人、警察官	The police officer helped us find our way home.	その警察官は私たちが家に帰るための道を教えてくれました。	そのけいさつかんはわたしたちがいえにかえるためのみちをおしえてくれました。	1	4	9871,7654,11337,9782,13449,11366,1950,155,8295,1305
35	someone	an unspecified person	誰か、ある人	Someone left their umbrella in the hallway.	誰かが廊下に傘を置き忘れました。	だれかがろうかにかさをおきわすれました。	1	0	35,893,1542,740,12510,814,1075,11392,10824,11532
36	plate	a flat dish from which food is eaten or served	皿、プレート	Please put your dish on the table and take a clean plate from the cupboard.	料理をテーブルの上に置いて、食器棚からきれいな皿を取ってください。	りょうりをてーぶるのうえにおいて、しょっきだなからきれいなさらをとってください。	1	4	1299,2097,1153,2040,8091,883,13343,2039,104,9391
37	copper	a reddish-brown metal used in electrical wiring and coins; also can refer to a police officer in slang	銅、金属の一種	Copper is an excellent conductor of electricity.	銅は電気の優れた導体です。	どうはでんきのすぐれたどうたいです。	1	4	865,189,1688,390,989,2197,13535,4289,11320,2862
38	gentle	kind, mild, or tender in behavior or appearance	優しい、穏やかな	She has a gentle touch that comforts everyone around her.	彼女は周りの誰もが安心するような優しい手つきを持っています。	かのじょはまわりのだれもがあんしんするようなやさしいてつきをもっています。	1	3	4850,10264,6025,99,14146,1749,5703,1088,6489,2767
39	season	one of the four periods of the year (spring, summer, autumn, winter) characterized by specific weather patterns	季節	Autumn is my favorite season.	私は秋が一番好きな季節です。	わたしはあきがいちばんすきなきせつです。	1	0	12406,2030,1699,2142,13321,13391,9751,1960,610,5657
40	number	a mathematical value representing a count or quantity	数、番号	The number of students in the class has increased this year.	今年、クラスの生徒数が増えました。	ことし、くらすのせいとすうがふえました。	1	0	1447,11252,1612,11336,2454,9844,1906,14250,11160,748
41	recognition	the act of identifying someone or something from previous encounters or knowledge	認識、認めること	The award was a recognition of her hard work and dedication.	その賞は彼女の努力と献身の認識を示すものでした。	そのしょうはかのじょのどりょくとけんしんのにんしきをしめすものでした。	1	3	12700,3879,9774,3877,153,8774,11312,12637,4415,6671
42	beard	hair that grows on the chin and cheeks of a man's face	あごひげ	He has a beard.	彼はあごひげを生やしている。	かれはあごひげをはやしている。	1	4	8597,8365,1731,6728,3767,13407,4023,13319,10371,6764
43	trunk	the main stem of a tree; also, the large movable container in an elephant's body that carries its trunk	木の幹、トランク、ゾウの鼻	The elephant raised its trunk and trumpeted loudly.	ゾウは鼻を上げて、大きな音で鳴いた。	ぞうははなをあげて、おおきなおとでないた。	1	4	8568,13611,1696,12458,1470,91,1563,6141,1168,10053
44	strap	a narrow strip of material used to fasten, secure, or carry something	ストラップ、ひも、帯	She used a leather strap to secure the suitcase.	彼女はスーツケースを固定するために革のストラップを使った。	かのじょはすーつけーすをこていするためにかわのすとらっぷをつかった。	1	4	10337,971,1492,4316,1756,7057,471,11539,202,8900
45	action	the process of doing something, typically to achieve an aim	行動、活動	The movie was full of exciting action and thrilling scenes.	その映画は、エキサイティングなアクションとスリリングな場面に満ちていました。	そのえいがは、えきさいてぃんぐなあくしょんとすりりんぐなばめんにみちていました。	1	1	453,6798,1002,7657,9793,9236,3427,3269,10346,2896
46	man	an adult male human being	男	The man was walking his dog in the park.	男は公園で犬と散歩をしていました。	おとこはこうえんでいぬとさんぽをしていました。	1	4	481,9322,12934,1364,970,5673,6450,12393,754,7143
47	gate	a hinged barrier used to close an opening in a wall or fence	門、ゲート	There was a beautiful gate at the entrance of the park.	公園の入り口には美しいゲートがありました。	こうえんのいりぐちにはうつくしいげーとがありました。	1	4	950,13146,592,2592,7344,5544,3415,2056,5204,13507
48	wonder	a feeling of amazement or curiosity about something beautiful, strange, or new	驚き、驚嘆	The children were filled with wonder at the beauty of the starry sky.	子供たちは星空の美しさに驚きました。	こどもたちはほしぞらのうつくしさにおどろきました。	1	3	13539,8536,9690,6482,13417,6477,6431,13212,10201,4498
49	lie	to make a false statement intentionally or to be in a horizontal position	嘘、虚偽の陳述	It's never a good idea to lie to your friends.	友達に嘘をつくことは決して良い考えではありません。	ともだちにうそをつくことはけっしてよいかんがえではありません。	1	1	5507,3154,3444,2793,5513,5065,5028,13103,4484,571
50	sport	an activity involving physical exertion and skill in which individuals or teams compete against each other	スポーツ、競技	He has been playing that sport since he was a child.	彼は子供の頃からそのスポーツを続けています。	かれはこどものころからそのすぽーつをつづけています。	1	4	11382,2090,429,10327,6508,1555,4506,6464,1638,6073
51	caution	care taken to avoid danger or mistakes	注意、用心	Please use caution while driving in the rain.	雨の中で運転する際は注意してください。	あめのなかでうんてんするさいはちゅういしてください。	1	3	119,6533,6037,6494,4896,11308,8471,7445,1606,9722
52	pull	to exert force on someone or something to move them closer or in a particular direction	引く	Please pull the door.	ドアを引いてください。	どあをひいてください。	1	1	333,4123,8821,7872,8746,2897,7354,7132,9050,2618
53	through	from one side to the other; finished or completed	通して、通じて、縦に	She walked through the forest, enjoying the beauty of nature.	彼女は森を通り抜けながら自然の美しさを楽しんでいました。	かのじょはもりをとおりぬけながらしぜんのうつくしさをたのしんでいました。	1	0	2128,9616,809,12318,12049,6389,8492,5438,2784,1655
54	fade	to gradually lose brightness, color, or clarity	消える、薄れる	The colors of the painting began to fade after many years.	その絵画の色は、何年も経つにつれて薄れていきました。	そのかいがのいろは、なんねんもたつにつれてうすれていきました。	1	1	8135,5557,8872,2579,7647,5521,2008,14481,14221,6928
55	quiet	making little or no noise; silent	静かな	She enjoys reading books in a quiet place.	彼女は静かな場所で本を読むのが好きです。	かのじょはしずかなばしょでほんをよむのがすきです。	1	2	1729,14442,1143,8854,13056,9720,14206,14297,1814,13506
56	strip	to remove all or most of something; to take off clothing or coverings	剥がす、剥ぎ取る、脱ぐ	The artist decided to strip the old paint from the wooden surface before applying a new coat.	アーティストは、新しい塗装を施す前に、木の表面から古い塗料を剥がすことに決めました。	あーてぃすとは、あたらしいとそうをほどこすまえに、きのひょうめんからふるいとりょうをはがすことにきめました。	1	1	2686,8905,12865,3831,5481,5029,8349,12641,5844,6274
57	applaud	to show approval or praise by clapping hands	拍手喝采する、称賛する	The audience applauded the performer enthusiastically.	観客は演奏者を盛んに拍手喝采しました。	かんきゃくはえんそうしゃをさかんにはくしゅかっさいしました。	1	1	2138,13380,7243,5109,3394,4715,6684,1000,3025,4136
58	great	exceptionally good or notable	素晴らしい、優れた	She did a great job on her presentation.	彼女はプレゼンテーションで素晴らしい仕事をしました。	かのじょはぷれぜんてーしょんですばらしいしごとをしました。	1	3	3677,211,6063,13583,7458,1151,1192,8298,4474,2098
59	pass	to move past or go beyond something; to succeed in a test or exam	合格、通過する	He studied hard to pass the exam.	彼は試験に合格するために一生懸命勉強しました。	かれはしけんにごうかくするためにいっしょうけんめいべんきょうしました。	1	1	10035,2697,7039,6119,6070,12186,8889,2823,12502,5957
60	hunger	the feeling of needing or wanting food	飢え、空腹	Hunger can drive people to seek food in desperate situations.	飢えは、人々が絶望的な状況で食べ物を求める原因となることがあります。	うえは、ひとびとがぜつぼうてきなじょうきょうでたべものをもとめるげんいんとなることがあります。	1	3	6529,10878,1704,5022,8405,889,6519,3700,1601,8222
61	regard	consider or think about someone or something in a particular way; to have respect or admiration for someone or something	考慮、尊重、関心	I have a high regard for your opinions and suggestions.	私はあなたの意見や提案に高い敬意を持っています。	わたしはあなたのいけんやていあんにたかいけいいをもっています。	1	3	4013,8236,5562,11176,5439,14275,13025,11256,10042,7369
62	must	something that is necessary or required; an obligation or duty	必ず～しなければならない、義務がある	You must finish your homework before going out to play.	遊びに出かける前に宿題を終わらせなければなりません。	あそびにでかけるまえにしゅくだいをおわらせなければなりません。	1	4	10287,630,13257,12499,10001,8962,6036,12500,1996,1827
63	content	the material or information contained within something; also, a state of satisfaction or happiness	内容、情報	He carefully prepared the content for his presentation.	彼はプレゼンテーションの内容をしっかりと準備しました。	かれはぷれぜんてーしょんのないようをしっかりとじゅんびしました。	1	3	1027,8477,9253,4499,1385,972,7345,2145,11572,98
64	cry	to shed tears as an expression of emotion, such as sadness or joy; also, to make a loud sound	泣く、叫ぶ	She cried out of joy.	彼女は嬉しさのあまり、思わず泣いてしまった。	かのじょはうれしさのあまり、おもわずないてしまった。	1	1	8340,4400,5542,10613,7885,7812,1820,3816,8199,5009
65	hall	a large room or building used for meetings, events, or gatherings	ホール、大広間	The grand hall was beautifully decorated for the wedding reception.	その大広間は結婚披露宴のために美しく装飾されていました。	そのおおひろまはけっこんひろうえんのためにうつくしくそうしょくされていました。	1	4	9410,8937,3684,5895,10750,6443,1603,11399,10845,3408
66	broad	widely extending or covering a large distance; wide	広い、広範な	The river is broad enough for boats to pass through easily.	その川は、ボートが簡単に通れるほど広いです。	そのかわは、ぼーとがかんたんにとおれるほどひろいです。	1	0	1085,1895,10469,4127,265,13115,4121,11050,10291,3651
67	half	one of two equal parts into which something is divided	半分、二分の一	I only ate half of the pizza.	私はピザの半分だけ食べました。	わたしはぴざのはんぶんだけたべました。	1	0	7993,8626,11917,4479,7686,10436,405,13410,1953,2252
68	arm	a limb of the human body extending from the shoulder to the hand; also, to supply or equip with weapons	腕、腕としての働き	She put her arm around her friend to comfort her.	彼女は友達を慰めるために腕を回した。	かのじょはともだちをなぐさめるためにうでをまわした。	1	4	432,941,1765,12266,477,3376,13921,2944,4638,4630
69	feed	to give food to someone or animals; to provide nourishment	餌、飼料	I forgot to feed the birds.	鳥に餌をやるのを忘れてしまいました。	とりにえさをやるのをわすれてしまいました。	1	1	299,8159,6766,12503,5965,8457,4095,10059,10299,3959
70	immense	extremely large or great in size, amount, or degree	巨大な、途方もない	He is putting immense effort into the project.	彼はそのプロジェクトに途方もない努力を注いでいます。	かれはそのぷろじぇくとにとほうもないどりょくをそそいでいます。	1	0	9655,4674,5822,3651,5329,829,10514,6332,6113,10438
71	problem	a situation, person, or thing that needs attention and needs solving or dealing with	問題、課題	He is working hard to solve the problem.	彼はその問題を解決するために一生懸命働いています。	かれはそのもんだいをかいけつするためにいっしょうけんめいはたらいています。	1	4	5917,9837,6673,14243,5721,849,9883,392,6763,10249
72	sock	a close-fitting covering for the foot, usually made of cloth	靴下	I bought a pair of warm socks for the winter.	冬のために暖かい靴下を一足買いました。	ふゆのためにあたたかいくつしたをいっそくかいました。	1	4	1614,6598,203,12227,1746,14003,1040,13848,4513,3334
73	science	the systematic study of the structure and behavior of the physical and natural world through observation and experiment	科学	Science is the key to understanding our world.	科学は私たちの世界を理解するための鍵です。	かがくはわたしたちのせかいをりかいするためのかぎです。	1	4	6121,4460,6787,8315,8540,6291,6308,1783,5712,4205
74	electrician	a person who installs or repairs electrical systems	電気技師、電気工	The electrician fixed the wiring in my house quickly and efficiently.	その電気技師は私の家の配線を迅速かつ効率的に修理しました。	そのでんきぎしはわたしのいえのはいせんをじんそくかつこうりつてきにしゅうりしました。	1	4	6899,14386,2046,8833,2032,1020,12559,13311,10148,9101
75	tame	not dangerous or frightened of people; domesticated	飼い慣らす、なつける	He is good at taming wild horses.	彼は野生の馬を飼い慣らすのが得意です。	かれはやせいのうまをかいならすのがとくいです。	2	3	13446,2086,884,1965,3092,4850,3990,1058,38,2767
76	honor	high respect; great esteem; a sense of what is right or morally upright	名誉、尊敬	He fought with courage and honor.	彼は勇気と名誉をもって戦いました。	かれはゆうきとめいよをもってたたかいました。	1	3	12007,14275,8605,5562,5439,13440,7255,5057,12268,3246
77	nothing	not anything; no single thing	何も～ない	I have nothing to do.	何もすることがない。	なにもすることがない。	1	0	11139,7774,325,1271,2171,2548,7111,634,7276,3880
78	drop	to let or make something fall or slide downward	落とす	He accidentally dropped the book from his hands.	彼は手から本を落としてしまった。	かれはてからほんをおとしてしまった。	1	1	1615,10043,3472,4532,617,8037,4274,8607,5028,8279
79	collect	to gather together things or people from different places	集める、収集する	She enjoys collecting stamps from around the world.	彼女は世界中の切手を集めるのが趣味です。	かのじょはせかいじゅうのきってをあつめるのがしゅみです。	1	1	6861,1468,3739,6586,7557,8760,9803,4554,8045,6407
80	excuse	a reason or explanation put forward to justify or defend a fault or offense	言い訳、口実	He used an excuse for being late.	彼は遅れた理由を言い訳として使った。	かれはおくれたりゆうをいいわけとしてつかった。	1	4	12063,1611,11652,11588,12052,10536,5186,4495,5067,12050
81	war	a state of armed conflict between different countries or groups	戦争、戦い	The country has been facing turmoil since the outbreak of war.	その国は戦争の勃発以来、混乱に直面しています。	そのくにはせんそうのぼっぱついらい、こんらんにちょくめんしています。	1	2	6881,11749,14318,4347,794,7157,5005,8190,6271,11381
82	wicked	evil or morally bad; often used informally to mean very good or impressive	邪悪な、意地悪な	The witch gave a wicked grin.	魔女は邪悪な笑みを浮かべた。	まじょはじゃあくなえみをうかべた。	1	3	3537,8127,3442,14014,8913,3496,14280,1587,10890,7882
83	cake	a sweet baked dessert, often made with flour, sugar, and eggs, usually in a round or rectangular shape	ケーキ、特に甘いデザート	She baked a delicious chocolate cake for the party.	彼女はパーティーのためにおいしいチョコレートケーキを焼きました。	かのじょはぱーてぃーのためにおいしいちょこれーとけーきをやきました。	1	4	10087,9390,692,13298,13464,10089,499,10872,9166,9391
84	whom	the object form of 'who'; used as the object of a verb or preposition	誰に（人を指す関係代名詞）	To whom should I address the letter?	その手紙は誰に宛てればいいのですか？	そのてがみはだれにあてればいいのですか?	1	4	4676,9588,9592,22,1458,374,9637,14079,7914,9638
85	actress	a woman who performs in plays, movies, or television shows	女優	She is an actress who performs on stage and in movies.	彼女は舞台や映画で活躍する女優です。	かのじょはぶたいやえいがでかつやくするじょゆうです。	1	4	1930,14302,9891,5904,11170,9380,7607,12353,12631,9189
86	card	a small, flat piece of stiff paper or plastic used for various purposes, such as playing games, sending messages, or identifying oneself	カード、名刺、カードゲームなどの意味を持つ	I received a beautiful card for my birthday.	誕生日に素敵なカードをもらいました。	たんじょうびにすてきなかーどをもらいました。	1	4	5724,5676,4364,1372,13994,7701,12340,2197,2181,1983
87	support	to help, give aid, or uphold someone or something	支える、支援する	I support your decision.	私はあなたの決断を支持します。	わたしはあなたのけつだんをしじします。	1	1	10321,11033,5560,1678,9608,7225,11349,11703,12503,4049
88	ornament	a decorative object used to embellish or decorate something	装飾品、飾り	We put ornaments on the Christmas tree.	クリスマスツリーに装飾品を付けました。	くりすますつりーにそうしょくひんをつけました。	1	4	4339,4000,5731,5261,6468,3900,5093,3047,4112,2211
89	harden	to become firm, solid, or more resistant	硬化する、強くする	The clay will harden as it dries in the sun.	粘土は日光で乾くにつれて硬化します。	ねんどはにっこうでかわくにつれてこうかします。	2	1	1039,13352,4626,14285,525,2102,548,12466,4616,202
90	breakfast	the first meal of the day, usually eaten in the morning	朝食	I had bread and coffee for breakfast.	朝食はパンとコーヒーでした。	ちょうしょくはぱんとこーひーでした。	1	4	424,9159,1553,13500,5514,14268,5651,8337,2141,951
91	branch	a part of a tree that grows out from the main trunk or from a bough; also used to refer to a division or subdivision of an organization or business	枝	I sat on a large branch of the tree and read a book.	大きな木の枝に座って、本を読みました。	おおきなきのえだにすわって、ほんをよみました。	1	4	2518,8568,7116,8626,11947,1014,7167,9960,10314,3719
92	pocket	a small bag sewn into or on clothing used for holding small items; also used figuratively to refer to a small reserved amount of money or resources	ポケット、服の一部で物を入れるための空間	I found some loose change in my pocket.	ポケットの中にいくつかの小銭を見つけました。	ぽけっとのなかにいくつかのこぜにをみつけました。	1	4	5674,4081,9308,12740,5676,6504,12885,2012,10700,44
93	avenue	a broad road in a city or town; also used figuratively to refer to a method or way of approaching a problem or making progress	大通り、通り、道筋	She walked down the bustling avenue, enjoying the lively atmosphere of the city.	彼女は賑やかな大通りを歩きながら、街の活気ある雰囲気を楽しんでいました。	かのじょはにぎやかなおおどおりをあるきながら、まちのかっきあるふんいきをたのしんでいました。	1	4	8592,208,303,1,10350,195,4426,11034,8069,521
94	ounce	a unit of weight equal to approximately 28.35 grams; often used to specify small amounts of a substance	オンス（重さの単位）、約28.35グラム	There are 16 ounces in a pound.	1ポンドは16オンスです。	1ぽんどは16おんすです。	1	4	9293,834,3,11759,338,12989,2012,11687,764,8663
95	dirt	earth or soil; also used informally to refer to a scandal or damaging information about someone	泥、土、汚れ	The children played outside and got dirt all over their clothes.	子供たちは外で遊んで、服が泥だらけになりました。	こどもたちはそとであそんで、ふくがどろだらけになりました。	1	4	1330,2504,7024,7413,6987,13191,1558,4967,5191,383
96	mend	to repair or fix something that is broken or damaged	修理する、直す	He worked hard to mend the flat tire on his old bicycle.	彼は古い自転車を修理するために、一生懸命にパンクを直しました。	かれはふるいじてんしゃをしゅうりするために、いっしょうけんめいにぱんくをなおしました。	2	1	1646,6284,1797,10587,3255,7146,6094,11658,12644,4783
97	honesty	the quality of being truthful and sincere; integrity	誠実、正直さ	Honesty is the foundation of any strong relationship.	誠実さはあらゆる強い関係の基礎です。	せいじつさはあらゆるつよいかいけいのきそです。	1	3	5872,6187,13990,13226,902,12093,10938,2312,4928,13765
98	beauty	the qualities present in a person or thing that give intense pleasure or deep satisfaction to the mind or senses	美しさ、魅力	The beauty of the sunset took my breath away.	夕日の美しさには息を呑みました。	ゆうひのうつくしさにはいきをのみました。	1	3	275,10942,7345,4499,14333,14291,10947,10384,13290,13359
99	friendly	kind, amiable, or supportive toward others	友好的な、親しみやすい	He always has a friendly smile on his face.	彼はいつも友好的な笑顔を浮かべている。	かれはいつもゆうこうてきなえがおをうかべている。	1	3	6025,1817,13390,4361,1229,13050,38,13911,13326,6832
100	advise	to offer suggestions or recommendations about what should be done	助言する、勧める	He advised me on my decision to continue my education.	彼は私に進学について助言をくれました。	かれはわたしにしんがくについてじょげんをくれました。	1	1	1936,9052,254,5263,3840,8983,12998,11522,2017,9010
101	loose	not tight or securely fixed in place	ゆるい、緩い	His pants are a bit loose, so he needs to tighten his belt.	彼のズボンは少しゆるいので、ベルトを締める必要があります。	かれのずぼんはすこしゆるいので、べるとをしめるひつようがあります。	1	2	14321,885,2323,14292,7837,7259,202,14522,13843,13832
102	word	a single distinct unit of language used to express an idea	単語、言葉	Can you tell me the meaning of this word?	この単語の意味を教えてくれますか？	このたんごのいみをおしえてくれますか?	1	4	10083,6507,8297,8448,2238,7320,1918,9771,2100,9387
103	invent	to produce or create something new that has not existed before	発明する、考案する	He invented a new type of engine.	彼は新しいタイプのエンジンを発明しました。	かれはあたらしいたいぷのえんじんをはつめいしました。	1	1	1491,5697,1591,1180,5762,9952,9741,1147,10039,9785
104	shelf	a flat horizontal surface used for storing or displaying objects	棚、物を置くための平らな面	I placed my favorite books on the shelf.	お気に入りの本を棚に置きました。	おきにいりのほんをたなにおきました。	1	4	485,921,12340,4364,1993,3667,11193,2097,267,12683
105	clothe	to provide someone with clothing or to cover with clothing	衣服を着る、服を与える	He decided to clothe himself in a warm jacket for the winter.	彼は冬のために暖かいジャケットを着ることに決めました。	かれはふゆのためにあたたかいじゃけっとをきることにきめました。	1	1	624,978,6597,5353,2132,11223,10859,9647,8457,12867
